text,category
sale boost time warner profit quarterly profit medium giant timewarner jumped three month december yearearlier firm one biggest investor google benefited sale highspeed internet connection higher advert sale timewarner said fourth quarter sale rose profit buoyed oneoff gain offset profit dip warner bros less user aol time warner said friday owns searchengine google internet business aol mixed fortune lost subscriber fourth quarter profit lower preceding three quarter however company said aols underlying profit exceptional item rose back stronger internet advertising revenue hope increase subscriber offering online service free timewarner internet customer try sign aols existing customer highspeed broadband timewarner also restate result following probe security exchange commission sec close concluding time warner fourth quarter profit slightly better analyst expectation film division saw profit slump helped boxoffice flop alexander catwoman sharp contrast yearearlier third final film lord ring trilogy boosted result fullyear timewarner posted profit performance revenue grew financial performance strong meeting exceeding fullyear objective greatly enhancing flexibility chairman chief executive richard parson said timewarner projecting operating earnings growth around also expects higher revenue wider profit margin timewarner restate account part effort resolve inquiry aol market regulator already offered pay settle charge deal review sec company said unable estimate amount needed set aside legal reserve previously set intends adjust way account deal german music publisher bertelsmanns purchase stake aol europe reported advertising revenue book sale stake aol europe loss value stake,business
dollar gain greenspan speech dollar hit highest level euro almost three month federal reserve head said trade deficit set stabilise alan greenspan highlighted government willingness curb spending rising household saving factor may help reduce late trading new york dollar reached euro thursday market concern deficit hit greenback recent month friday federal reserve chairman greenspans speech london ahead meeting finance minister sent dollar higher earlier tumbled back worsethanexpected job data think chairman taking much sanguine view current account deficit taken time said robert sinche head currency strategy bank america new york taking longerterm view laying set condition current account deficit improve year next worry deficit concern china however remain china currency remains pegged dollar currency sharp fall recent month therefore made chinese export price highly competitive call shift beijing policy fallen deaf ear despite recent comment major chinese newspaper time ripe loosening peg meeting thought unlikely produce meaningful movement chinese policy meantime federal reserve decision february boost interest rate quarter point sixth move many month opened differential european rate halfpoint window believe could enough keep asset looking attractive could help prop dollar recent fall partly result big budget deficit well yawning current account gap need funded buying bond asset foreign firm government white house announce budget monday many commentator believe deficit remain close half trillion dollar,business
yukos unit buyer face loan claim owner embattled russian oil giant yukos ask buyer former production unit pay back loan stateowned rosneft bought yugansk unit sale forced russia part settle tax claim yukos yukos owner menatep group say ask rosneft repay loan yugansk secured asset rosneft already face similar repayment demand foreign bank legal expert said rosnefts purchase yugansk would include obligation pledged asset rosneft pay real money creditor avoid seizure yugansk asset said moscowbased lawyer jamie firestone connected case menatep group managing director tim osborne told reuters news agency default fight rule law exists international arbitration clause credit rosneft official unavailable comment company said intends take action menatep recover tax claim debt owed yugansk yukos filed bankruptcy protection court attempt prevent forced sale main production arm sale went ahead december yugansk sold littleknown shell company turn bought rosneft yukos claim downfall punishment political ambition founder mikhail khodorkovsky vowed sue participant sale,business
high fuel price hit profit british airway blamed high fuel price drop profit reporting result three month december airline made pretax profit compared year earlier rod eddington chief executive said result respectable third quarter fuel cost rose profit still better market expectation expects rise fullyear revenue help offset increased price aviation fuel last year introduced fuel surcharge passenger october increased oneway longhaul flight shorthaul surcharge raised leg yet aviation analyst mike powell dresdner kleinwort wasserstein say estimated annual surcharge revenue still way short additional fuel cost predicted extra turnover quarter benefiting rise cargo revenue looking ahead full year result march warned yield average revenue per passenger expected decline continues lower price face competition lowcost carrier however said sale would better previously forecast year march total revenue outlook slightly better previous guidance improvement anticipated chairman martin broughton said previously forecast rise fullyear revenue also reported friday passenger number rose january aviation analyst nick van den brul bnp paribas described latest quarterly result pretty modest quite good revenue side show impact fuel surcharge positive cargo development however operating margin cost impact fuel strong said since september attack united state cut job part major costcutting drive focus remains reducing controllable cost debt whilst continuing invest product eddington said example taken delivery six airbus aircraft next month start improvement club world flat bed share closed four penny penny,business
pernod takeover talk lift domecq share drink food firm allied domecq risen speculation could target takeover france pernod ricard report wall street journal financial time suggested french spirit firm considering bid yet contact target allied domecq share london rose gmt pernod share paris slipped pernod said seeking acquisition refused comment specific pernod last major purchase third giant seagram move propelled global top three drink firm twothirds seagram bought market leader diageo term market value pernod euro smaller allied domecq capitalisation euro last year pernod tried buy glenmorangie one scotland premier whisky firm lost luxury good firm lvmh pernod home brand including chivas regal scotch whisky havana club rum jacob creek wine allied domecqs big name include malibu rum courvoisier brandy stolichnaya vodka ballantines whisky well snack food chain dunkin donut baskinrobbins ice cream wsj said two ripe consolidation dealt problematic part portfolio pernod reduced debt took fund seagram purchase euro allied improved performance fastfood chain,business
japan narrowly escape recession japan economy teetered brink technical recession three month september figure show revised figure indicated growth similarsized contraction previous quarter annual basis data suggests annual growth suggesting much hesitant recovery previously thought common technical definition recession two successive quarter negative growth government keen play worrying implication data maintain view japan economy remains minor adjustment phase upward climb monitor development carefully said economy minister heizo takenaka face strengthening yen making export less competitive indication weakening economic condition ahead observer less sanguine painting picture recovery much patchier previously thought said paul sheard economist lehman brother tokyo improvement job market apparently yet feed domestic demand private consumption third quarter,business
job growth still slow created fewer job expected january fall jobseekers pushed unemployment rate lowest level three year according labor department figure firm added job january gain nonfarm payroll market expectation new job nevertheless enough push unemployment rate lowest level since september job gain mean president bush celebrate albeit fine margin net growth job economy first term office presided net fall job last november presidential election first president since herbert hoover result job creation became key issue last year election however adding december january figure administration first term job record ended positive territory labor department also said revised job gain december analyst said growth new job strong could expected given favourable economic condition suggests employment continuing expand moderate pace said rick egelton deputy chief economist bmo financial group getting boost employment would got given low value dollar still relatively low interest rate environment economy producing moderate satisfying amount job growth said ken mayland president clearview economics mean limited number new opportunity worker,business
india call fair trade rule india attends meeting seven leading industrialised nation friday unlikely cowed newcomer status london thursday ahead meeting india finance minister lashed restrictive trade policy nation objected subsidy agriculture make hard developing nation like india compete also called reform united nation world bank imf palaniappan chidambaram india finance minister argued organisation need take account changing world order given india china integration global economy said issue globalisation term engagement globalisation chidambaram attending meeting part group nation account two third world population conference developing enterprise hosted finance minister gordon brown friday said favour floating exchange rate help country cope economic shock flexible exchange rate one channel absorbing positive negative shock told conference india along china brazil south africa russia invited take part meeting taking place london friday saturday china expected face renewed pressure abandon fixed exchange rate nation particular blamed surge cheap chinese export country tried use fixed exchange rate wish make judgement chidambaram said separately imf warned thursday india budget deficit large would hamper country economic growth forecast around year march year march indian economy grew,business
ethiopia crop production ethiopia produced million tonne crop higher average past five year report say crop production totalled million tonne joint report food agriculture organisation world food programme said good rain increased use fertilizer improved seed contributed rise production nevertheless million ethiopian still need emergency assistance report calculated emergency food requirement tonne top tonne fortified blended food vegetable oil targeted supplementary food distribution survival programme child five pregnant lactating woman needed eastern southern ethiopia prolonged drought killed crop drained well last year total tonne food assistance needed help seven million ethiopian food agriculture organisation fao recommend food assistance bought locally local purchase cereal food assistance programme recommended far possible assist domestic market farmer said henri josserand chief fao global information early warning system agriculture main economic activity ethiopia representing gross domestic product ethiopian depend directly indirectly agriculture,business
court reject tobacco case government claim accusing country biggest tobacco company covering effect smoking thrown appeal court demand filed clinton administration rejected decision court washington found case could brought federal antiracketeering law among accused altria group reynolds tobacco lorillard tobacco liggett group brown williamson case government claimed tobacco firm manipulated nicotine level increase addiction targeted teenager multibillion dollar advertising campaign lied danger smoking ignored research contrary prosecutor wanted cigarette firm surrender profit accumulated past year impose tougher rule marketing product court appeal district columbia ruled government could sue firm legislation drawn counteract mafia infiltration business tobacco company deny illegally conspired promote smoking defraud public also say already met many government demand landmark settlement reached state share tobacco company closed higher ruling altria rising reynolds showing gain,business
